lens_type,power,lens_index,coating,store_type,rush_order,inventory_available,qc_failures,completion_hours
Bifocal,-4.06,1.67,Anti Glare,Hospital,0,1,1,60
Progressive,-5.34,1.67,Standard,Hospital,1,1,0,71
Progressive,-1.36,1.74,Standard,Retail,0,1,1,97
Bifocal,-7.63,1.50,Photochromic,Retail,1,0,3,122
Progressive,-4.13,1.56,Anti Glare,Retail,1,0,0,113
Bifocal,-7.78,1.56,Anti Glare,Premium,0,1,3,66
Progressive,-4.27,1.56,Anti Glare,Retail,0,0,0,115
Single Vision,-2.8,1.56,Anti Glare,Premium,1,0,2,65
Single Vision,-5.49,1.50,Anti Glare,Retail,1,0,2,77
Progressive,-6.4,1.67,Photochromic,Premium,0,0,0,148
Bifocal,2.6,1.74,Blue Cut,Hospital,1,0,1,82
Single Vision,0.92,1.56,Anti Glare,Retail,0,1,2,40
Progressive,1.61,1.56,Anti Glare,Retail,0,1,1,76
Bifocal,-0.69,1.50,Standard,Hospital,1,1,1,61
Single Vision,2.35,1.67,Blue Cut,Hospital,0,1,2,48
Progressive,-1.89,1.50,Anti Glare,Retail,1,1,1,84
Progressive,-7.69,1.56,Photochromic,Premium,0,1,0,75
Progressive,-4.4,1.74,Blue Cut,Hospital,0,1,0,65
Bifocal,-4.09,1.67,Standard,Premium,1,1,2,60
Single Vision,-3.67,1.74,Standard,Hospital,0,1,0,39
Progressive,3.05,1.67,Standard,Retail,0,0,0,77
Single Vision,0.4,1.50,Anti Glare,Retail,1,0,0,49
Bifocal,2.28,1.50,Anti Glare,Retail,1,1,1,34
Progressive,1.34,1.74,Blue Cut,Retail,0,0,2,129
Single Vision,-0.45,1.50,Blue Cut,Retail,1,0,1,68
Progressive,-1.21,1.67,Blue Cut,Hospital,0,1,2,85
Bifocal,-5.11,1.56,Photochromic,Retail,1,0,2,98
Single Vision,1.3,1.50,Standard,Premium,0,1,3,47
Bifocal,-1.94,1.74,Standard,Hospital,1,1,1,71
Bifocal,-6.91,1.67,Standard,Retail,0,0,1,111
Bifocal,-4.03,1.50,Photochromic,Hospital,1,1,1,74
Progressive,-0.56,1.67,Blue Cut,Premium,1,0,2,111
Single Vision,-6.88,1.74,Standard,Premium,0,0,1,108
Bifocal,1.37,1.74,Standard,Retail,0,0,1,110
Bifocal,3.6,1.74,Anti Glare,Retail,1,1,0,76
Single Vision,-0.0,1.67,Anti Glare,Premium,0,0,0,46
Progressive,-3.7,1.67,Blue Cut,Premium,0,1,1,89
Single Vision,1.91,1.56,Photochromic,Retail,0,0,2,77
Single Vision,3.27,1.56,Standard,Hospital,1,1,0,40
Bifocal,-3.34,1.50,Blue Cut,Hospital,0,1,0,61
Bifocal,-5.37,1.67,Standard,Retail,0,0,0,63
Single Vision,-3.73,1.50,Photochromic,Retail,0,0,1,73
Bifocal,-6.26,1.50,Anti Glare,Premium,1,1,3,98
Bifocal,-2.22,1.74,Photochromic,Retail,0,0,2,117
Bifocal,3.09,1.56,Standard,Hospital,0,0,3,112
Bifocal,-7.39,1.56,Standard,Premium,1,0,3,100
Bifocal,-4.4,1.50,Standard,Premium,1,0,0,74
Bifocal,0.02,1.50,Anti Glare,Premium,1,0,3,95
Bifocal,-3.12,1.50,Photochromic,Premium,1,0,0,56
Single Vision,3.71,1.74,Photochromic,Retail,1,1,0,35
Bifocal,-0.99,1.56,Photochromic,Hospital,1,0,1,90
Single Vision,-7.67,1.50,Standard,Hospital,0,1,1,65
Single Vision,-7.47,1.50,Blue Cut,Premium,1,1,0,27
Bifocal,1.15,1.74,Anti Glare,Retail,1,1,3,84
Single Vision,-2.81,1.67,Photochromic,Premium,1,1,3,66
Progressive,-0.08,1.74,Standard,Hospital,1,0,0,90
Progressive,-0.91,1.50,Standard,Hospital,0,0,0,96
Progressive,1.14,1.74,Standard,Retail,1,0,0,103
Single Vision,-2.68,1.50,Anti Glare,Premium,1,1,2,46
Single Vision,0.18,1.56,Blue Cut,Retail,1,1,2,45
Single Vision,-2.19,1.50,Blue Cut,Premium,0,0,1,77
Bifocal,0.45,1.74,Blue Cut,Premium,0,1,0,75
Progressive,2.15,1.67,Blue Cut,Hospital,0,1,0,73
Progressive,0.86,1.56,Photochromic,Hospital,0,1,1,70
Single Vision,-5.4,1.67,Anti Glare,Hospital,1,1,3,74
Progressive,-7.2,1.74,Anti Glare,Premium,1,0,3,114
Bifocal,-3.25,1.56,Blue Cut,Premium,1,0,2,98
Single Vision,-2.59,1.50,Blue Cut,Retail,1,0,0,70
Bifocal,1.68,1.67,Anti Glare,Retail,1,1,3,82
Single Vision,-0.26,1.50,Standard,Hospital,1,0,2,72
Bifocal,1.06,1.74,Blue Cut,Premium,1,0,3,113
Bifocal,-4.26,1.56,Blue Cut,Premium,0,0,1,70
Single Vision,-3.9,1.56,Anti Glare,Retail,0,1,3,44
Single Vision,1.21,1.56,Standard,Hospital,1,0,2,51
Single Vision,-4.61,1.50,Standard,Retail,1,0,2,71
Single Vision,0.42,1.56,Photochromic,Premium,1,0,2,81
Progressive,-5.98,1.74,Anti Glare,Premium,0,0,0,91
Progressive,3.65,1.56,Blue Cut,Retail,0,0,2,123
Single Vision,-5.63,1.74,Standard,Hospital,1,0,0,70
Progressive,2.02,1.56,Standard,Hospital,0,1,3,94
Progressive,-2.99,1.67,Standard,Hospital,0,1,3,120
Progressive,2.18,1.50,Anti Glare,Hospital,1,0,3,124
Bifocal,-6.71,1.74,Anti Glare,Hospital,0,1,2,75
Progressive,1.69,1.56,Standard,Retail,1,1,0,47
Bifocal,-2.23,1.50,Standard,Retail,0,1,2,59
Bifocal,-6.23,1.67,Blue Cut,Retail,0,1,1,99
Bifocal,-5.65,1.50,Anti Glare,Retail,1,0,0,59
Progressive,0.19,1.74,Photochromic,Hospital,0,0,2,120
Bifocal,-0.89,1.56,Blue Cut,Premium,0,0,2,110
Single Vision,3.17,1.50,Standard,Hospital,0,1,3,64
Single Vision,1.54,1.74,Blue Cut,Hospital,1,0,2,67
Single Vision,-1.57,1.67,Photochromic,Premium,0,1,3,62
Single Vision,0.14,1.56,Blue Cut,Premium,0,0,3,78
Bifocal,-0.45,1.74,Photochromic,Premium,0,0,0,106
Single Vision,-3.19,1.67,Photochromic,Retail,1,1,0,32
Bifocal,-1.51,1.56,Blue Cut,Hospital,0,0,2,90
Single Vision,2.68,1.67,Blue Cut,Premium,1,1,3,54
Bifocal,-6.03,1.50,Photochromic,Premium,0,0,2,123
Progressive,-2.61,1.74,Anti Glare,Hospital,0,1,3,87
Bifocal,1.89,1.67,Anti Glare,Retail,0,1,0,47
Bifocal,-1.56,1.56,Standard,Premium,1,1,0,48
Single Vision,2.8,1.50,Anti Glare,Retail,0,1,0,27
Progressive,-3.62,1.67,Standard,Premium,1,0,2,131
Progressive,-6.31,1.50,Blue Cut,Hospital,0,0,0,124
Progressive,-6.6,1.50,Anti Glare,Retail,0,0,1,117
Single Vision,-0.95,1.74,Photochromic,Retail,0,0,3,97
Bifocal,0.51,1.67,Photochromic,Retail,0,0,0,96
Progressive,1.6,1.67,Standard,Hospital,1,1,2,59
Single Vision,-1.8,1.50,Blue Cut,Retail,1,1,3,61
Progressive,1.98,1.67,Photochromic,Hospital,1,1,3,76
Bifocal,-0.78,1.74,Photochromic,Retail,1,0,0,67
Single Vision,-2.72,1.50,Anti Glare,Retail,0,1,3,56
Bifocal,-5.01,1.50,Blue Cut,Retail,0,0,1,100
Bifocal,-3.32,1.67,Photochromic,Hospital,1,0,2,92
Bifocal,1.68,1.56,Anti Glare,Retail,0,0,1,61
Progressive,0.44,1.67,Anti Glare,Retail,1,0,1,105
Progressive,3.33,1.74,Photochromic,Retail,0,1,0,95
Bifocal,-7.13,1.67,Standard,Hospital,1,0,0,86
Progressive,2.69,1.50,Blue Cut,Retail,1,1,2,97
Single Vision,-4.5,1.56,Photochromic,Retail,1,0,1,63
Progressive,-2.41,1.56,Blue Cut,Hospital,1,0,2,88
Bifocal,-2.64,1.74,Photochromic,Premium,0,1,1,76
Progressive,1.39,1.74,Standard,Hospital,0,1,0,89
Single Vision,-6.33,1.74,Anti Glare,Premium,1,1,1,37
Bifocal,0.82,1.74,Anti Glare,Hospital,0,1,3,77
Single Vision,3.61,1.50,Photochromic,Hospital,1,1,0,32
Progressive,3.44,1.56,Anti Glare,Premium,0,1,2,63
Progressive,-1.92,1.74,Photochromic,Premium,1,0,1,133
Bifocal,0.48,1.74,Standard,Premium,1,1,0,64
Single Vision,-3.66,1.67,Blue Cut,Retail,1,1,0,31
Single Vision,-3.21,1.67,Anti Glare,Hospital,0,0,0,73
Bifocal,-7.8,1.67,Photochromic,Retail,0,0,2,111
Single Vision,2.1,1.50,Standard,Hospital,1,0,2,57
Bifocal,0.52,1.67,Photochromic,Hospital,1,0,0,92
Single Vision,-5.01,1.74,Anti Glare,Retail,0,1,1,76
Single Vision,0.77,1.50,Standard,Retail,0,0,0,67
Progressive,-5.25,1.50,Blue Cut,Hospital,0,1,2,92
Single Vision,2.75,1.50,Anti Glare,Hospital,0,0,0,56
Single Vision,-4.72,1.50,Standard,Premium,0,1,3,45
Bifocal,-0.28,1.50,Anti Glare,Hospital,0,1,3,77
Progressive,1.52,1.74,Anti Glare,Retail,0,1,3,94
Single Vision,3.48,1.50,Standard,Premium,1,0,3,84
Single Vision,-1.86,1.67,Standard,Retail,0,0,3,88
Single Vision,-5.52,1.67,Anti Glare,Retail,1,1,0,37
Progressive,-3.55,1.56,Blue Cut,Premium,0,1,2,88
Single Vision,0.86,1.50,Blue Cut,Hospital,1,0,1,60
Progressive,2.28,1.50,Photochromic,Retail,0,1,2,85
Bifocal,0.25,1.74,Anti Glare,Hospital,1,1,1,57
Bifocal,-1.03,1.50,Anti Glare,Premium,1,0,0,66
Bifocal,-7.96,1.56,Standard,Premium,0,0,3,101
Single Vision,3.0,1.74,Photochromic,Retail,0,1,0,38
Single Vision,-2.11,1.74,Blue Cut,Premium,0,0,1,76
Bifocal,1.13,1.74,Blue Cut,Hospital,0,1,2,88
Progressive,-0.08,1.50,Standard,Retail,0,0,1,87
Bifocal,-7.42,1.67,Photochromic,Hospital,1,0,0,100
Bifocal,-4.69,1.56,Standard,Hospital,0,1,0,54
Bifocal,2.93,1.67,Photochromic,Hospital,0,0,0,71
Progressive,-2.26,1.50,Anti Glare,Premium,1,1,1,57
Single Vision,-7.74,1.50,Blue Cut,Hospital,1,0,2,71
Progressive,-2.16,1.56,Anti Glare,Retail,0,0,2,103
Progressive,1.63,1.50,Anti Glare,Hospital,0,0,3,136
Single Vision,-2.56,1.56,Blue Cut,Retail,0,0,0,62
Progressive,-1.32,1.50,Standard,Hospital,1,0,1,113
Bifocal,2.11,1.67,Photochromic,Premium,0,0,2,88
Progressive,-6.98,1.74,Standard,Retail,1,1,0,66
Progressive,-4.6,1.74,Blue Cut,Premium,0,1,2,74
Bifocal,-2.86,1.74,Standard,Premium,1,0,2,102
Single Vision,3.54,1.74,Photochromic,Hospital,0,0,2,105
Progressive,0.13,1.50,Photochromic,Hospital,1,0,0,85
Single Vision,-4.69,1.50,Anti Glare,Retail,1,1,1,32
Bifocal,-2.62,1.67,Standard,Retail,0,0,0,69
Bifocal,1.0,1.74,Anti Glare,Premium,1,1,2,57
Progressive,0.08,1.56,Standard,Retail,0,0,1,100
Single Vision,-4.53,1.74,Photochromic,Retail,1,1,2,65
Progressive,-2.5,1.50,Blue Cut,Premium,1,1,1,70
Progressive,-6.01,1.74,Anti Glare,Hospital,0,0,3,110
Bifocal,-5.71,1.50,Photochromic,Premium,1,0,1,87
Progressive,-5.33,1.67,Blue Cut,Retail,0,1,2,85
Bifocal,1.93,1.50,Photochromic,Hospital,0,0,3,108
Progressive,-1.91,1.67,Standard,Retail,1,0,0,89
Bifocal,-0.37,1.67,Blue Cut,Premium,1,0,3,77
Progressive,-7.27,1.74,Photochromic,Hospital,1,0,2,124
Bifocal,1.69,1.56,Blue Cut,Premium,1,0,3,84
Single Vision,-7.07,1.56,Blue Cut,Retail,1,0,1,81
Bifocal,-4.59,1.56,Anti Glare,Retail,1,1,1,50
Bifocal,-7.47,1.56,Standard,Hospital,1,0,1,71
Progressive,-6.61,1.50,Anti Glare,Premium,1,0,0,98
Progressive,-3.66,1.56,Photochromic,Hospital,0,0,0,113
Progressive,-3.9,1.56,Standard,Retail,0,1,0,72
Bifocal,-7.56,1.56,Photochromic,Retail,1,0,0,96
Progressive,0.71,1.56,Anti Glare,Retail,1,1,3,72
Bifocal,2.75,1.56,Anti Glare,Premium,1,1,2,42
Bifocal,-2.37,1.74,Standard,Premium,0,1,3,101
Progressive,-1.72,1.56,Standard,Premium,0,0,1,126
Bifocal,-2.42,1.56,Anti Glare,Hospital,0,0,0,76
Single Vision,-1.69,1.56,Photochromic,Retail,1,1,0,49
Bifocal,-0.86,1.56,Anti Glare,Premium,1,0,1,77
Progressive,3.56,1.56,Photochromic,Premium,1,0,0,88
Single Vision,2.01,1.50,Standard,Hospital,0,1,0,30
Single Vision,2.89,1.67,Photochromic,Hospital,1,0,2,101
Progressive,-3.69,1.67,Anti Glare,Premium,0,1,1,68
Bifocal,0.14,1.56,Standard,Hospital,0,0,3,117
Progressive,0.66,1.56,Anti Glare,Retail,1,1,1,54
Progressive,-0.1,1.50,Photochromic,Hospital,1,0,3,113
Single Vision,3.86,1.74,Standard,Premium,1,0,1,72
Bifocal,-6.53,1.67,Photochromic,Retail,1,0,3,80
Bifocal,-7.38,1.56,Standard,Premium,1,1,1,85
Bifocal,-5.96,1.74,Photochromic,Retail,1,0,1,111
Progressive,3.36,1.67,Standard,Retail,1,1,2,93
Bifocal,3.89,1.74,Standard,Hospital,1,0,0,75
Bifocal,-7.31,1.67,Anti Glare,Premium,1,0,3,114
Bifocal,3.43,1.56,Anti Glare,Premium,0,0,3,102
Bifocal,0.7,1.50,Standard,Hospital,1,0,2,99
Single Vision,3.52,1.67,Blue Cut,Hospital,1,1,1,40
Bifocal,-7.99,1.50,Anti Glare,Hospital,0,1,3,67
Bifocal,-0.98,1.56,Standard,Hospital,1,1,2,51
Single Vision,1.65,1.74,Blue Cut,Hospital,1,1,1,50
Single Vision,-6.16,1.74,Blue Cut,Retail,0,0,2,92
Progressive,-4.46,1.50,Standard,Retail,0,0,1,88
Bifocal,2.76,1.56,Blue Cut,Retail,0,1,2,64
Progressive,1.08,1.50,Anti Glare,Hospital,0,0,2,112
Single Vision,-6.33,1.67,Blue Cut,Premium,1,0,3,93
Bifocal,-7.73,1.67,Standard,Retail,0,0,2,100
Bifocal,-2.4,1.56,Photochromic,Premium,0,1,2,85
Bifocal,-7.46,1.74,Photochromic,Retail,1,0,0,80
Progressive,3.08,1.74,Standard,Premium,0,1,0,93
Progressive,-5.54,1.56,Anti Glare,Hospital,1,1,2,76
Bifocal,-5.27,1.56,Blue Cut,Premium,0,0,0,101
Progressive,-7.65,1.74,Photochromic,Hospital,0,1,0,123
Single Vision,-4.62,1.74,Anti Glare,Retail,0,0,0,63
Single Vision,-2.92,1.50,Blue Cut,Hospital,1,1,1,37
Bifocal,-5.65,1.50,Blue Cut,Hospital,1,1,0,64
Bifocal,-2.44,1.74,Photochromic,Hospital,0,0,1,95
Single Vision,-7.81,1.50,Anti Glare,Premium,1,1,1,57
Progressive,-6.32,1.67,Standard,Hospital,1,0,2,114
Progressive,-7.53,1.67,Standard,Premium,1,1,1,73
Single Vision,-7.19,1.67,Blue Cut,Hospital,1,1,1,54
Single Vision,3.06,1.56,Blue Cut,Hospital,0,0,1,84
Bifocal,-1.89,1.67,Blue Cut,Retail,0,1,3,84
Bifocal,-4.68,1.67,Standard,Retail,0,0,3,114
Progressive,-1.61,1.74,Standard,Hospital,0,0,0,107
Bifocal,-6.99,1.67,Standard,Hospital,1,0,3,89
Bifocal,-1.84,1.74,Blue Cut,Premium,1,1,1,64
Bifocal,-0.19,1.56,Photochromic,Premium,1,0,2,97
Single Vision,2.39,1.74,Photochromic,Premium,1,0,1,78
Progressive,-6.69,1.74,Photochromic,Retail,1,0,2,131
Progressive,-0.02,1.67,Standard,Premium,1,0,2,96
Single Vision,-4.39,1.56,Photochromic,Premium,0,1,0,37
Single Vision,-2.4,1.50,Anti Glare,Premium,1,1,0,30
Progressive,-1.04,1.67,Standard,Retail,1,0,3,97
Progressive,1.06,1.74,Standard,Premium,1,0,1,97
Progressive,-4.93,1.74,Photochromic,Hospital,0,1,2,89
Single Vision,-3.75,1.74,Photochromic,Retail,0,0,1,70
Bifocal,-4.06,1.74,Standard,Retail,0,0,1,87
Progressive,1.9,1.50,Blue Cut,Hospital,0,0,3,141
Single Vision,3.23,1.67,Anti Glare,Retail,0,1,1,40
Bifocal,-0.2,1.50,Photochromic,Retail,0,1,0,50
Progressive,-3.31,1.67,Anti Glare,Hospital,0,0,2,122
Progressive,-6.04,1.74,Standard,Retail,0,0,0,108
Single Vision,0.18,1.50,Photochromic,Retail,1,1,2,43
Bifocal,-0.3,1.50,Blue Cut,Hospital,0,1,1,57
Bifocal,-4.16,1.56,Blue Cut,Premium,0,1,1,58
Bifocal,1.02,1.56,Blue Cut,Hospital,0,1,3,59
Single Vision,3.6,1.67,Anti Glare,Premium,0,1,2,40
Single Vision,-2.99,1.67,Blue Cut,Retail,1,0,1,67
Single Vision,-3.75,1.67,Photochromic,Retail,0,0,1,68
Progressive,0.2,1.67,Blue Cut,Premium,0,0,0,83
Single Vision,1.73,1.56,Anti Glare,Hospital,1,0,0,48
Progressive,-4.15,1.50,Photochromic,Hospital,1,0,2,99
Bifocal,-5.92,1.50,Anti Glare,Retail,1,0,3,107
Bifocal,-0.58,1.56,Standard,Hospital,1,1,0,42
Progressive,0.51,1.67,Blue Cut,Retail,1,0,1,115
Single Vision,0.45,1.56,Anti Glare,Premium,0,0,1,42
Bifocal,-3.54,1.74,Photochromic,Hospital,0,1,1,63
Single Vision,0.15,1.74,Photochromic,Retail,0,1,2,59
Single Vision,-5.77,1.56,Photochromic,Premium,1,0,3,91
Single Vision,0.03,1.56,Blue Cut,Hospital,1,1,2,44
Bifocal,3.26,1.56,Standard,Retail,0,1,0,64
Progressive,-0.55,1.50,Anti Glare,Premium,0,1,1,55
Single Vision,-5.44,1.67,Anti Glare,Premium,1,1,0,64
Bifocal,-0.08,1.56,Photochromic,Retail,0,0,2,91
Single Vision,-2.86,1.67,Anti Glare,Hospital,0,0,1,79
