lens_type,power,lens_index,coating,store_type,rush_order,inventory_available,queue_depth,machine_load,utilization_percent,qc_failures,completion_hours
Single Vision,-6.87,1.50,Photochromic,Retail,1,1,4,31,86,3,88.68
Single Vision,-3.9,1.50,Standard,Hospital,1,1,11,25,67,4,118.64
Single Vision,-5.92,1.56,Standard,Hospital,1,1,30,19,38,1,160.34
Progressive,-0.61,1.74,Photochromic,Franchise,1,1,34,42,52,4,245.62
Single Vision,3.3,1.56,Photochromic,Hospital,0,0,11,55,21,4,234.9
Single Vision,-4.17,1.67,Standard,Hospital,0,1,10,38,55,0,78.69
Progressive,-4.62,1.50,Blue Cut,Franchise,1,1,17,33,42,4,162.12
Progressive,-5.14,1.56,Blue Cut,Retail,0,1,35,21,80,0,168.54
Progressive,-3.74,1.74,Blue Cut,Franchise,0,0,4,21,44,3,199.39
Progressive,1.48,1.50,Standard,Franchise,1,0,34,96,94,1,303.56
Bifocal,0.26,1.67,Photochromic,Hospital,0,1,8,59,46,1,117.62
Single Vision,-1.02,1.74,Photochromic,Retail,1,1,3,45,89,3,105.62
Single Vision,1.33,1.67,Standard,Hospital,0,1,12,67,39,3,145.44
Progressive,0.17,1.56,Standard,Retail,0,1,5,67,63,4,147.38
Bifocal,-7.48,1.74,Blue Cut,Franchise,1,0,18,29,76,1,206.04
Single Vision,3.95,1.67,Standard,Franchise,0,0,31,25,91,3,260.72
Single Vision,-3.97,1.50,Blue Cut,Hospital,0,0,36,50,83,2,285.71
Single Vision,1.77,1.67,Standard,Hospital,0,1,4,56,44,1,92.98
Single Vision,2.52,1.67,Standard,Retail,0,1,10,94,45,0,114.83
Single Vision,-4.72,1.50,Photochromic,Retail,0,1,2,62,42,4,132.39
Progressive,1.08,1.56,Standard,Retail,0,1,12,13,81,0,94.1
Single Vision,-6.64,1.67,Blue Cut,Hospital,1,0,0,63,24,2,165.51
Single Vision,-6.39,1.50,Blue Cut,Retail,0,1,38,47,83,3,221.47
Progressive,-1.34,1.50,Blue Cut,Retail,0,1,29,60,24,4,225.7
Single Vision,3.12,1.56,Standard,Retail,1,1,12,52,94,2,102.33
Progressive,-3.2,1.67,Standard,Retail,1,1,28,41,69,4,211.76
Single Vision,-7.51,1.50,Standard,Retail,0,1,4,21,65,1,60.73
Single Vision,-6.89,1.56,Blue Cut,Hospital,0,0,16,35,55,0,176.91
Single Vision,-0.83,1.74,Blue Cut,Hospital,0,1,13,97,21,4,189.7
Progressive,1.0,1.50,Photochromic,Hospital,0,0,24,37,93,0,231.28
Progressive,-6.93,1.67,Standard,Retail,0,1,2,27,53,0,52.16
Single Vision,2.8,1.67,Standard,Franchise,1,1,32,62,41,4,218.54
Single Vision,-5.05,1.50,Standard,Hospital,1,0,8,12,50,4,181.15
Bifocal,1.8,1.56,Standard,Franchise,1,1,10,17,45,2,92.78
Progressive,-5.54,1.74,Blue Cut,Retail,0,1,0,99,33,4,162.22
Single Vision,-0.87,1.56,Standard,Retail,0,1,12,49,21,3,131.45
Single Vision,0.18,1.67,Blue Cut,Hospital,0,0,4,71,79,3,200.02
Bifocal,-5.54,1.56,Photochromic,Hospital,0,1,10,23,79,2,114.08
Single Vision,1.77,1.67,Blue Cut,Retail,1,0,39,81,58,2,308.64
Single Vision,-1.07,1.56,Standard,Hospital,0,1,38,60,89,2,228.04
Progressive,-3.98,1.50,Blue Cut,Retail,0,1,26,45,48,0,151.54
Progressive,-7.6,1.67,Blue Cut,Franchise,0,0,12,40,66,3,216.91
Single Vision,-0.75,1.67,Blue Cut,Retail,0,1,1,36,55,3,88.69
Progressive,3.51,1.56,Standard,Franchise,0,1,11,99,32,1,156.74
Progressive,-7.78,1.74,Photochromic,Retail,1,1,27,40,28,2,196.42
Bifocal,-2.59,1.50,Photochromic,Hospital,0,1,0,72,73,2,109.7
Progressive,-3.21,1.50,Standard,Retail,0,0,24,99,94,1,266.62
Bifocal,-0.96,1.50,Photochromic,Hospital,0,1,5,97,52,0,103.78
Progressive,-4.67,1.56,Standard,Retail,0,1,19,95,82,4,207.61
Single Vision,-3.23,1.56,Blue Cut,Hospital,0,0,28,39,35,2,244.85
Single Vision,1.31,1.56,Blue Cut,Retail,0,1,3,10,27,4,89.05
Single Vision,2.77,1.67,Photochromic,Franchise,0,1,28,17,84,0,141.28
Single Vision,-5.23,1.67,Standard,Hospital,0,1,32,17,53,2,174.27
Bifocal,1.96,1.56,Blue Cut,Retail,0,0,17,16,93,0,176.4
Single Vision,-7.68,1.50,Blue Cut,Hospital,1,1,19,20,21,2,110.72
Progressive,-3.09,1.67,Standard,Franchise,1,1,23,90,93,2,192.53
Bifocal,1.6,1.56,Standard,Hospital,0,1,24,82,41,2,183.98
Bifocal,0.29,1.67,Photochromic,Retail,1,1,33,26,56,0,163.99
Single Vision,0.64,1.50,Standard,Franchise,1,1,39,21,72,1,176.31
Single Vision,-1.77,1.50,Standard,Franchise,0,0,25,38,40,2,242.33
Single Vision,-3.73,1.67,Standard,Franchise,1,0,23,31,88,0,196.59
Single Vision,2.1,1.67,Photochromic,Franchise,0,1,8,82,59,0,102.6
Single Vision,0.46,1.67,Standard,Franchise,1,1,29,21,38,4,171.5
Single Vision,2.48,1.67,Photochromic,Franchise,0,1,7,34,31,2,101.77
Bifocal,3.33,1.50,Blue Cut,Franchise,1,1,21,16,33,4,151.0
Single Vision,-2.94,1.67,Blue Cut,Franchise,0,1,38,26,33,2,199.68
Progressive,-2.23,1.74,Blue Cut,Hospital,0,0,14,13,44,4,240.14
Progressive,-5.2,1.50,Photochromic,Hospital,0,0,17,41,58,3,250.52
Single Vision,-6.94,1.50,Standard,Franchise,0,0,38,93,24,0,290.7
Single Vision,-4.55,1.56,Standard,Retail,0,1,14,82,34,0,120.79
Single Vision,-6.51,1.74,Blue Cut,Retail,0,1,23,20,81,4,175.75
Progressive,-5.23,1.67,Standard,Franchise,0,0,2,15,24,4,179.7
Progressive,-5.4,1.67,Blue Cut,Retail,0,0,17,71,36,2,242.34
Single Vision,-1.56,1.67,Blue Cut,Hospital,0,0,27,38,28,2,248.46
Bifocal,2.35,1.67,Blue Cut,Retail,0,0,14,47,91,2,213.03
Single Vision,-5.36,1.67,Standard,Retail,0,1,28,67,86,1,183.17
Single Vision,2.37,1.67,Blue Cut,Retail,0,0,12,54,72,1,191.99
Single Vision,2.58,1.74,Standard,Franchise,1,0,29,48,50,1,247.15
Progressive,1.99,1.67,Standard,Retail,0,1,16,69,83,4,182.86
Progressive,-1.5,1.74,Standard,Franchise,1,0,3,29,87,2,176.0
Single Vision,1.25,1.67,Standard,Hospital,0,0,13,73,66,4,251.4
Progressive,-3.4,1.50,Photochromic,Franchise,0,1,22,35,65,1,155.3
Bifocal,-2.89,1.56,Standard,Franchise,1,0,31,11,66,3,248.7
Bifocal,-6.19,1.56,Photochromic,Retail,0,0,4,12,20,1,159.56
Bifocal,-5.24,1.56,Standard,Retail,0,1,15,36,91,3,143.45
Progressive,1.25,1.67,Blue Cut,Franchise,0,0,23,69,22,3,275.75
Progressive,-2.22,1.50,Standard,Retail,0,1,21,11,91,2,152.91
Single Vision,3.7,1.67,Blue Cut,Retail,1,1,7,20,70,0,50.57
Single Vision,3.84,1.50,Standard,Hospital,0,0,39,41,21,0,263.86
Single Vision,-7.06,1.56,Standard,Franchise,0,1,14,53,68,2,125.39
Single Vision,2.75,1.67,Blue Cut,Franchise,0,1,7,81,69,3,130.2
Progressive,-7.04,1.74,Blue Cut,Hospital,0,1,13,84,31,3,188.35
Single Vision,2.46,1.56,Photochromic,Retail,0,1,31,60,63,1,193.03
Single Vision,-7.02,1.56,Standard,Hospital,0,0,11,58,50,1,179.31
Progressive,-2.89,1.56,Standard,Hospital,1,1,35,75,98,1,213.5
Bifocal,-4.59,1.56,Standard,Hospital,0,1,34,35,27,3,213.67
Bifocal,-5.84,1.56,Photochromic,Franchise,0,0,13,98,21,0,228.17
Single Vision,-0.12,1.56,Blue Cut,Retail,0,0,9,76,33,1,192.67
Single Vision,0.03,1.50,Standard,Franchise,1,0,19,37,56,4,240.17
Progressive,-2.64,1.74,Blue Cut,Franchise,0,0,1,82,56,3,220.59
Single Vision,-0.32,1.56,Standard,Franchise,0,1,13,21,39,4,139.96
Single Vision,-4.12,1.74,Blue Cut,Franchise,0,0,37,93,42,4,348.23
Single Vision,3.28,1.67,Standard,Retail,0,1,31,14,66,1,152.39
Single Vision,1.97,1.74,Blue Cut,Franchise,1,1,32,10,38,4,193.87
Progressive,-1.07,1.56,Standard,Hospital,0,1,24,57,32,0,155.89
Single Vision,-0.19,1.67,Photochromic,Franchise,1,1,22,92,94,0,155.66
Single Vision,-1.47,1.50,Standard,Hospital,0,1,28,98,52,0,170.04
Single Vision,-0.96,1.50,Blue Cut,Hospital,0,0,25,81,67,1,260.94
Single Vision,-7.69,1.56,Standard,Hospital,0,0,35,24,62,1,253.8
Progressive,-2.83,1.74,Standard,Franchise,0,1,14,77,40,4,203.3
Single Vision,-6.78,1.56,Standard,Hospital,0,1,34,17,35,1,172.77
Single Vision,-3.04,1.50,Standard,Franchise,1,1,30,80,82,0,172.87
Progressive,-4.92,1.74,Standard,Franchise,1,0,12,31,40,3,216.09
Progressive,-3.07,1.67,Photochromic,Retail,0,1,23,28,79,1,154.99
Progressive,1.2,1.50,Standard,Retail,0,1,33,42,40,0,176.96
Single Vision,-5.53,1.67,Standard,Retail,0,1,1,73,54,4,114.61
Progressive,-2.69,1.56,Blue Cut,Franchise,1,0,18,77,61,4,262.7
Single Vision,-7.17,1.67,Standard,Retail,0,1,7,81,69,2,117.54
Single Vision,-4.11,1.56,Blue Cut,Franchise,0,0,34,96,49,3,317.08
Bifocal,-5.9,1.67,Standard,Hospital,0,1,15,21,36,3,129.7
Bifocal,-2.3,1.56,Standard,Franchise,0,1,39,74,49,4,259.72
Progressive,2.38,1.67,Blue Cut,Hospital,0,0,22,75,21,2,263.02
Single Vision,-1.88,1.67,Standard,Hospital,0,1,34,31,62,3,195.68
Bifocal,-6.6,1.67,Standard,Hospital,1,1,15,16,71,0,88.42
Single Vision,-7.73,1.50,Standard,Hospital,1,1,24,75,44,4,205.32
Progressive,-5.9,1.67,Standard,Retail,0,0,20,77,44,3,269.7
Single Vision,1.32,1.50,Blue Cut,Franchise,0,1,5,41,62,1,73.27
Single Vision,1.37,1.56,Standard,Franchise,0,1,14,82,28,2,148.29
Single Vision,1.39,1.56,Standard,Retail,0,1,16,61,71,3,139.83
Single Vision,2.64,1.56,Standard,Franchise,0,1,6,95,24,1,118.67
Single Vision,-2.98,1.67,Blue Cut,Franchise,0,1,0,22,72,1,42.26
Progressive,-2.01,1.56,Standard,Hospital,0,0,17,61,48,1,223.29
Progressive,2.71,1.74,Blue Cut,Retail,1,1,28,19,77,3,191.34
Single Vision,-3.36,1.56,Standard,Retail,0,1,18,78,51,3,172.34
Single Vision,0.16,1.50,Standard,Franchise,0,1,34,33,36,4,198.63
Single Vision,3.9,1.74,Photochromic,Franchise,0,0,4,14,27,1,161.33
Single Vision,-7.01,1.74,Standard,Retail,1,1,2,58,55,3,109.01
Single Vision,-7.5,1.74,Blue Cut,Franchise,1,1,31,25,51,3,193.62
Single Vision,-7.48,1.50,Blue Cut,Retail,0,1,24,31,49,3,161.49
Bifocal,-0.25,1.56,Photochromic,Franchise,1,0,17,30,32,4,238.12
Bifocal,0.98,1.67,Standard,Franchise,0,1,24,31,48,4,182.13
Progressive,1.81,1.56,Blue Cut,Retail,0,1,32,65,22,2,213.57
Single Vision,-6.87,1.67,Photochromic,Retail,0,1,15,81,20,3,170.05
Progressive,-5.55,1.67,Blue Cut,Franchise,0,1,12,18,55,1,99.55
Progressive,-7.58,1.67,Standard,Hospital,0,1,15,79,75,2,171.53
Bifocal,-0.88,1.56,Standard,Franchise,0,1,3,69,76,4,129.9
Single Vision,-0.94,1.56,Blue Cut,Retail,0,1,3,33,53,1,64.77
Single Vision,-0.36,1.50,Blue Cut,Hospital,1,0,35,73,38,4,310.63
Single Vision,-4.06,1.56,Standard,Retail,0,1,10,66,64,0,107.91
Progressive,-6.58,1.56,Photochromic,Franchise,0,1,4,70,29,1,111.62
Single Vision,0.4,1.67,Blue Cut,Hospital,0,0,18,51,54,1,212.17
Single Vision,-2.2,1.50,Standard,Franchise,1,1,23,66,89,0,133.44
Single Vision,-0.68,1.50,Blue Cut,Retail,1,0,29,95,26,2,282.93
Bifocal,-3.55,1.56,Photochromic,Hospital,0,1,19,91,76,4,207.64
Single Vision,-3.07,1.56,Photochromic,Hospital,0,1,23,24,67,4,176.35
Single Vision,0.77,1.74,Standard,Franchise,0,0,18,98,31,0,234.78
Single Vision,-7.74,1.67,Standard,Retail,1,1,16,33,80,4,141.94
Single Vision,0.49,1.67,Standard,Hospital,1,1,4,11,41,0,40.07
Progressive,-2.45,1.56,Blue Cut,Hospital,0,1,37,69,78,1,211.23
Bifocal,-1.46,1.67,Blue Cut,Franchise,0,1,21,23,46,4,167.12
Single Vision,3.82,1.67,Standard,Retail,0,0,32,51,25,3,271.58
Single Vision,-2.71,1.50,Standard,Retail,0,1,8,56,34,1,92.41
Single Vision,0.35,1.67,Standard,Franchise,0,1,39,42,20,4,237.61
Single Vision,1.58,1.74,Photochromic,Retail,1,1,15,10,82,4,147.34
Bifocal,0.02,1.67,Standard,Hospital,1,1,26,78,44,2,194.76
Bifocal,-7.05,1.67,Standard,Retail,0,1,5,92,79,3,141.82
Bifocal,2.82,1.67,Standard,Hospital,1,1,29,99,40,3,218.07
Single Vision,-2.6,1.67,Blue Cut,Hospital,0,1,29,24,54,0,137.85
Single Vision,0.11,1.56,Blue Cut,Franchise,0,1,0,81,82,2,97.23
Single Vision,-5.45,1.50,Standard,Hospital,0,1,16,48,28,2,142.49
Single Vision,2.79,1.67,Photochromic,Franchise,0,0,37,23,91,2,287.84
Single Vision,-7.78,1.56,Standard,Hospital,0,1,18,60,22,1,133.11
Progressive,2.07,1.74,Blue Cut,Retail,0,1,18,56,33,4,191.05
Single Vision,-7.85,1.56,Standard,Franchise,0,0,13,50,87,2,203.96
Bifocal,2.23,1.67,Blue Cut,Retail,1,1,15,71,67,3,155.45
Single Vision,1.98,1.67,Standard,Retail,0,0,34,90,84,4,330.81
Progressive,-7.01,1.74,Standard,Franchise,0,1,28,31,40,2,198.76
Progressive,0.12,1.50,Standard,Retail,1,0,23,43,74,0,215.94
Single Vision,-0.39,1.50,Standard,Retail,0,1,26,17,84,0,124.1
Single Vision,-0.67,1.56,Standard,Retail,0,1,7,52,39,3,105.36
Single Vision,-2.45,1.56,Standard,Hospital,0,1,8,97,56,0,105.77
Single Vision,-1.91,1.74,Standard,Franchise,0,1,0,49,38,3,102.74
Bifocal,0.05,1.56,Blue Cut,Retail,1,1,4,17,44,2,70.32
Progressive,1.6,1.67,Standard,Franchise,0,1,32,85,34,0,204.88
Bifocal,0.02,1.67,Standard,Franchise,0,1,8,48,47,2,109.74
Bifocal,-7.2,1.67,Standard,Retail,0,1,0,64,64,1,84.21
Bifocal,1.7,1.56,Standard,Retail,0,0,17,45,64,0,203.5
Single Vision,1.58,1.67,Photochromic,Franchise,0,0,10,57,51,1,191.85
Single Vision,-7.67,1.56,Blue Cut,Hospital,0,1,3,46,75,0,57.28
Single Vision,-0.25,1.67,Standard,Franchise,0,1,37,73,88,1,207.15
Progressive,-1.04,1.67,Standard,Retail,0,1,23,68,86,2,175.46
Single Vision,-6.24,1.56,Standard,Hospital,0,1,36,44,25,3,205.15
Bifocal,-1.46,1.50,Blue Cut,Hospital,0,0,21,77,88,4,292.86
Single Vision,-5.04,1.67,Standard,Hospital,0,0,20,55,40,3,233.97
Progressive,-1.46,1.50,Blue Cut,Retail,0,1,10,60,36,2,135.46
Progressive,-0.55,1.56,Standard,Retail,0,1,18,73,30,4,198.3
Single Vision,-7.54,1.67,Blue Cut,Retail,0,0,11,79,36,2,215.79
Single Vision,2.36,1.67,Standard,Hospital,0,1,22,24,46,2,139.25
Bifocal,-3.65,1.67,Photochromic,Franchise,0,1,3,16,54,0,55.18
Single Vision,-4.26,1.56,Standard,Franchise,0,1,15,31,62,2,123.92
Progressive,-6.39,1.56,Standard,Hospital,0,1,29,66,66,2,201.42
Single Vision,0.85,1.67,Blue Cut,Retail,0,1,8,10,55,2,86.28
Progressive,-6.94,1.56,Standard,Hospital,0,0,7,12,33,3,195.33
Single Vision,-6.79,1.74,Blue Cut,Retail,0,1,15,69,85,1,145.26
Progressive,0.0,1.56,Photochromic,Franchise,1,1,26,62,58,0,161.81
Single Vision,-5.42,1.56,Blue Cut,Franchise,1,1,9,19,91,3,96.19
Progressive,-1.68,1.56,Standard,Retail,1,1,3,86,78,1,99.48
Bifocal,1.89,1.67,Standard,Retail,0,0,28,35,37,0,229.38
Single Vision,2.07,1.50,Standard,Retail,0,1,0,28,28,2,65.84
Bifocal,3.32,1.56,Standard,Franchise,0,1,25,38,52,3,183.6
Progressive,0.45,1.50,Standard,Retail,1,0,23,20,36,3,234.22
Single Vision,1.38,1.67,Standard,Retail,0,0,34,56,37,2,285.89
Single Vision,-7.37,1.67,Standard,Retail,0,1,8,82,57,2,129.39
Progressive,1.05,1.50,Standard,Franchise,0,1,5,53,40,3,130.83
Progressive,-5.61,1.74,Standard,Franchise,0,1,9,62,63,4,162.29
Bifocal,2.06,1.67,Photochromic,Franchise,0,1,16,21,73,3,150.54
Single Vision,-2.43,1.74,Blue Cut,Hospital,0,1,15,56,77,3,161.46
Single Vision,-4.81,1.50,Standard,Retail,0,0,11,25,99,2,184.46
Progressive,-1.42,1.74,Blue Cut,Franchise,1,1,7,54,78,3,137.39
Bifocal,-0.76,1.56,Standard,Hospital,0,1,4,65,69,2,111.83
Bifocal,-7.09,1.56,Standard,Franchise,0,1,9,54,30,4,146.39
Single Vision,0.09,1.56,Standard,Hospital,0,1,30,55,45,0,167.7
Bifocal,-2.03,1.56,Standard,Retail,1,1,14,70,40,4,166.27
Progressive,-1.44,1.50,Standard,Franchise,0,1,32,90,94,4,253.92
Single Vision,-3.3,1.67,Standard,Franchise,0,1,25,71,95,2,182.22
Single Vision,-5.43,1.50,Standard,Franchise,0,0,16,52,99,1,202.8
Bifocal,-3.29,1.74,Blue Cut,Franchise,0,1,16,68,63,0,143.12
Single Vision,-1.38,1.67,Standard,Hospital,0,1,7,57,41,4,133.43
Single Vision,-3.17,1.74,Standard,Retail,0,1,33,10,51,0,154.25
Single Vision,1.05,1.74,Photochromic,Franchise,0,1,28,93,72,2,230.41
Single Vision,2.17,1.74,Photochromic,Franchise,0,0,4,74,36,1,190.97
Single Vision,0.63,1.67,Standard,Hospital,1,0,6,56,90,1,166.14
Bifocal,-2.97,1.67,Standard,Franchise,0,0,7,50,38,3,195.59
Single Vision,2.55,1.56,Standard,Franchise,1,0,33,33,43,1,250.23
Progressive,-1.81,1.56,Standard,Franchise,1,0,5,66,29,4,210.95
Single Vision,0.75,1.74,Standard,Franchise,0,1,12,96,77,1,143.85
Bifocal,1.82,1.56,Standard,Retail,0,1,35,48,35,4,225.44
Single Vision,-3.03,1.67,Standard,Hospital,0,1,10,19,36,3,107.11
Bifocal,-0.41,1.50,Blue Cut,Retail,0,1,35,90,85,2,231.13
Single Vision,2.21,1.56,Standard,Retail,0,0,5,93,71,4,226.4
Bifocal,0.41,1.67,Blue Cut,Franchise,0,0,25,24,51,3,248.43
Progressive,-7.86,1.67,Photochromic,Retail,0,1,28,92,25,0,201.84
Single Vision,-1.51,1.56,Standard,Hospital,0,1,34,28,95,2,184.74
Progressive,-0.5,1.56,Photochromic,Retail,0,0,2,25,70,1,164.15
Single Vision,-6.05,1.50,Standard,Retail,0,0,16,15,24,0,170.32
Single Vision,-3.73,1.50,Standard,Hospital,0,0,38,77,52,4,335.94
Progressive,0.8,1.50,Blue Cut,Hospital,0,1,23,91,82,1,188.12
Single Vision,-1.43,1.74,Blue Cut,Hospital,0,1,26,58,95,2,185.59
Progressive,-1.8,1.67,Blue Cut,Hospital,0,0,38,38,39,2,307.63
Single Vision,-6.89,1.67,Blue Cut,Hospital,1,0,9,82,67,0,173.56
Single Vision,-5.01,1.50,Standard,Franchise,0,0,14,68,41,2,216.73
Progressive,0.41,1.67,Standard,Retail,0,1,8,45,20,1,107.38
Single Vision,2.08,1.50,Blue Cut,Hospital,0,0,34,94,44,3,316.7
Single Vision,-2.74,1.74,Standard,Franchise,0,0,19,49,58,0,213.39
Progressive,-7.4,1.74,Standard,Retail,0,0,33,49,94,4,316.86
Progressive,-0.86,1.56,Standard,Hospital,1,1,12,55,22,1,116.14
Single Vision,-4.96,1.74,Standard,Hospital,0,1,5,98,58,0,110.2
Bifocal,-0.34,1.67,Standard,Hospital,0,1,27,27,82,2,173.51
Progressive,-5.59,1.67,Standard,Franchise,0,1,14,10,74,2,126.75
Single Vision,-6.09,1.50,Standard,Hospital,1,1,2,56,54,3,87.51
Single Vision,-4.28,1.56,Blue Cut,Franchise,0,1,23,34,74,4,167.17
Single Vision,3.29,1.74,Standard,Retail,0,1,38,31,60,4,228.78
Progressive,2.05,1.74,Blue Cut,Retail,0,0,36,96,32,3,348.51
Single Vision,-7.98,1.67,Blue Cut,Hospital,0,1,29,90,51,1,190.02
Bifocal,-6.54,1.67,Blue Cut,Hospital,0,1,13,48,66,2,136.29
Progressive,3.83,1.56,Blue Cut,Retail,0,1,0,38,69,1,69.85
Single Vision,2.45,1.67,Blue Cut,Retail,0,1,28,48,45,0,148.44
Bifocal,-5.55,1.67,Standard,Retail,0,1,2,88,48,4,133.38
Single Vision,0.58,1.74,Blue Cut,Retail,0,1,21,89,60,2,184.96
Single Vision,-1.87,1.67,Standard,Franchise,0,0,29,66,37,2,265.73
Single Vision,-5.5,1.50,Standard,Franchise,0,1,27,66,68,4,210.03
Bifocal,-5.22,1.74,Standard,Franchise,0,0,39,68,74,3,322.73
Single Vision,0.67,1.67,Blue Cut,Franchise,0,1,8,40,80,0,67.7
Single Vision,-1.75,1.56,Blue Cut,Retail,0,0,28,68,90,3,287.9
Single Vision,2.68,1.67,Photochromic,Franchise,0,1,25,45,81,1,156.76
Progressive,-3.37,1.67,Standard,Retail,0,1,11,19,63,2,104.4
Single Vision,-7.08,1.67,Standard,Hospital,0,1,37,76,57,2,215.99
Single Vision,-5.71,1.67,Standard,Franchise,0,1,14,88,23,3,167.33
Progressive,0.97,1.50,Standard,Retail,0,0,20,44,98,4,268.3
Progressive,-2.85,1.56,Blue Cut,Franchise,1,1,37,27,21,2,202.48
Progressive,0.48,1.74,Photochromic,Franchise,1,1,9,76,54,4,178.96
Bifocal,2.19,1.56,Standard,Retail,0,0,13,33,68,3,212.96
Single Vision,2.05,1.67,Blue Cut,Retail,1,1,24,77,80,4,192.44
Progressive,-3.33,1.56,Blue Cut,Franchise,1,0,4,72,78,4,224.02
Bifocal,3.77,1.67,Photochromic,Hospital,0,0,10,70,37,2,217.71
Bifocal,-5.99,1.67,Blue Cut,Franchise,1,0,21,92,84,3,276.11
Single Vision,-5.55,1.50,Blue Cut,Retail,1,0,19,59,52,2,226.13
Progressive,3.53,1.67,Standard,Hospital,1,1,37,75,55,1,220.0
Progressive,-6.86,1.67,Blue Cut,Retail,0,0,19,64,35,2,250.04
Bifocal,-5.64,1.67,Standard,Franchise,0,0,36,90,76,4,338.29
Single Vision,-3.98,1.50,Photochromic,Retail,0,1,28,28,30,1,159.92
Single Vision,-6.79,1.50,Standard,Franchise,1,0,7,49,75,2,166.16
Single Vision,-4.41,1.56,Standard,Franchise,0,0,12,45,45,3,206.94
Bifocal,-6.14,1.50,Standard,Franchise,0,1,4,73,29,2,109.17
Single Vision,-5.91,1.74,Standard,Franchise,0,1,33,18,41,4,213.45
Bifocal,-0.03,1.50,Standard,Franchise,1,1,8,49,39,1,83.2
Single Vision,-2.13,1.67,Standard,Hospital,1,0,34,57,37,3,287.37
Bifocal,2.68,1.67,Blue Cut,Retail,0,1,30,63,23,3,197.67
Progressive,-3.53,1.67,Standard,Hospital,1,0,2,37,22,4,192.44
Progressive,-1.08,1.67,Standard,Hospital,0,1,2,68,95,0,85.82
Progressive,-1.12,1.56,Photochromic,Franchise,0,0,19,31,23,4,268.85
Single Vision,-3.48,1.56,Standard,Retail,0,0,7,32,65,2,180.01
Single Vision,2.9,1.56,Standard,Retail,0,1,17,26,49,4,144.47
Progressive,-5.95,1.50,Standard,Franchise,0,0,14,82,71,1,236.14
Progressive,-6.52,1.67,Standard,Retail,0,1,0,53,94,1,79.56
Single Vision,1.28,1.74,Standard,Franchise,0,0,39,51,81,2,301.48
Progressive,-6.49,1.67,Standard,Retail,1,1,5,95,69,4,151.34
Single Vision,-4.61,1.56,Standard,Retail,1,1,18,37,36,2,133.02
Single Vision,-4.45,1.67,Blue Cut,Hospital,0,0,12,61,77,0,186.98
Bifocal,-4.26,1.56,Standard,Franchise,1,0,39,72,95,1,303.06
Bifocal,-7.26,1.50,Standard,Franchise,0,1,24,43,86,1,155.12
Single Vision,-5.87,1.56,Standard,Franchise,0,0,11,62,63,1,195.33
Progressive,2.27,1.56,Blue Cut,Franchise,0,0,24,75,49,2,267.82
Progressive,-6.56,1.67,Blue Cut,Hospital,0,1,14,55,44,4,159.58
Progressive,-3.32,1.56,Standard,Franchise,0,1,20,95,42,2,196.96
Bifocal,-7.01,1.56,Blue Cut,Hospital,0,1,37,78,92,2,222.05
